 res,strategy,transformer_id,transformer,sector,transformer_code
2011,WASO: Incineration for energy production,35,WASO: Incineration for energy production,CE,TFR:WASO:INC_ENERGY_FROM_INCINERATION
2012,WASO: Increase biogas capture,33,WASO: Increase biogas capture,CE,TFR:WASO:INC_CAPTURE_BIOGAS
2013,WASO: Increase composting and biogas,32,WASO: Increase composting and biogas,CE,TFR:WASO:INC_ANAEROBIC_AND_COMPOST
2014,WASO: Increase landfilling,36,WASO: Increase landfilling,CE,TFR:WASO:INC_LANDFILLING
2015,WASO: Increase recycling,37,WASO: Increase recycling,CE,TFR:WASO:INC_RECYCLING
3001,CCSQ: Increase direct air capture,38,CCSQ: Increase direct air capture,EN,TFR:CCSQ:INC_CAPTURE
3003,ENTC: 95% of electricity is generated by renewables in 2050,44,ENTC: 95% of electricity is generated by renewables in final time period,EN,TFR:ENTC:TARGET_RENEWABLE_ELEC
3005,ENTC: Reduce transmission losses,41,ENTC: Reduce transmission losses,EN,TFR:ENTC:DEC_LOSSES
3009,FGTV: Maximize flaring,46,FGTV: Maximize flaring,EN,TFR:FGTV:INC_FLARE
3011,FGTV: Minimize leaks,45,FGTV: Minimize leaks,EN,TFR:FGTV:DEC_LEAKS
3017,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity,49,INEN: Fuel switch high- and low-temp thermal processes,EN,TFR:INEN:SHIFT_FUEL_HEAT
3019,INEN: Maximize industrial energy efficiency,47,INEN: Maximize industrial energy efficiency,EN,TFR:INEN:INC_EFFICIENCY_ENERGY
3021,INEN: Maximize industrial production efficiency,48,INEN: Maximize industrial production efficiency,EN,TFR:INEN:INC_EFFICIENCY_PRODUCTION
3025,SCOE: Increase appliance efficiency,51,SCOE: Increase appliance efficiency,EN,TFR:SCOE:INC_EFFICIENCY_APPLIANCE
3027,SCOE: Reduce end-use demand for heat energy by improving building shell,50,SCOE: Reduce end-use demand for heat energy by improving building shell,EN,TFR:SCOE:DEC_DEMAND_HEAT
3029,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",53,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",EN,TFR:SCOE:SHIFT_FUEL_HEAT
3035,TRNS: Electrify light duty road transport,58,TRNS: Electrify light duty road transport,EN,TFR:TRNS:SHIFT_FUEL_LIGHT_DUTY
3041,TRNS: Fuel switch maritime,59,TRNS: Fuel switch maritime,EN,TFR:TRNS:SHIFT_FUEL_MARITIME
3043,TRNS: Fuel switch medium duty road transport,60,TRNS: Fuel switch medium duty road transport,EN,TFR:TRNS:SHIFT_FUEL_MEDIUM_DUTY
4002,IPPU: Reduce cement clinker,65,IPPU: Reduce cement clinker,IP,TFR:IPPU:DEC_CLINKER
4003,IPPU: Reduce fluorinated gasses bundle,70,IPPU: Reduce use of PFCs,IP,TFR:IPPU:DEC_PFCS
4004,IPPU: Reduce Nitrous Oxide emissions,68,IPPU: Reduce Nitrous Oxide emissions,IP,TFR:IPPU:DEC_N2O
4005,IPPU: Reduce other fluorinated compounds,69,IPPU: Reduce other fluorinated compounds,IP,TFR:IPPU:DEC_OTHER_FCS
4006,IPPU: Reduce use of HFCs,67,IPPU: Reduce use of HFCs,IP,TFR:IPPU:DEC_HFCS
4007,IPPU: Reduce use of PFCs,70,IPPU: Reduce use of PFCs,IP,TFR:IPPU:DEC_PFCS
