"Economic.Sector","Year","Jobs","Pathway"
"Transport",2024,493509.949714286,"Baseline"
"Metal Products",2024,133658.944714286,"Baseline"
"Food & Beverages",2024,226192.060285714,"Baseline"
"Private Households",2024,143940.402,"Baseline"
"Construction",2024,1151523.216,"Baseline"
"Education, Health and Other Services",2024,534635.778857143,"Baseline"
"Recycling",2024,10281.4572857143,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2024,257036.432142857,"Baseline"
"Electrical and Machinery",2024,113096.030142857,"Baseline"
"Maintenance and Repair",2024,400976.834142857,"Baseline"
"Financial Intermediation and Business Activities",2024,411258.291428571,"Baseline"
"Public Administration",2024,503791.407,"Baseline"
"Post and Telecommunications",2025,207335.516441327,"Baseline"
"Mining and Quarrying",2025,114034.53404273,"Baseline"
"Wood and Paper",2025,51833.8791103316,"Baseline"
"Other Manufacturing",2025,103667.758220663,"Baseline"
"Electrical and Machinery",2025,114034.53404273,"Baseline"
"Others",2025,20733.5516441327,"Baseline"
"Private Households",2025,145134.861508929,"Baseline"
"Financial Intermediation and Business Activities",2025,414671.032882653,"Baseline"
"Electricity, Gas and Water",2025,103667.758220663,"Baseline"
"Agriculture",2025,3058198.86750957,"Baseline"
"Fishing",2025,176235.188975128,"Baseline"
"Transport Equipment",2025,41467.1032882653,"Baseline"
"Education, Health and Other Services",2025,539072.342747449,"Baseline"
"Hotels and Restaurants",2025,342103.602128189,"Baseline"
"Retail Trade",2025,881175.944875638,"Baseline"
"Public Administration",2025,507972.01528125,"Baseline"
"Re-export & Re-import",2025,10366.7758220663,"Baseline"
"Construction",2025,1161078.89207143,"Baseline"
"Wholesale Trade",2025,466504.911992985,"Baseline"
"Recycling",2025,10366.7758220663,"Baseline"
"Textiles and Wearing Apparel",2025,373203.929594388,"Baseline"
"Transport",2025,497605.239459184,"Baseline"
"Metal Products",2025,134768.085686862,"Baseline"
"Maintenance and Repair",2025,404304.257060587,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2025,259169.395551658,"Baseline"
"Food & Beverages",2025,228069.068085459,"Baseline"
"Post and Telecommunications",2026,209041.043314286,"Baseline"
"Re-export & Re-import",2026,10452.0521657143,"Baseline"
"Mining and Quarrying",2026,114972.573822857,"Baseline"
"Textiles and Wearing Apparel",2026,376273.877965714,"Baseline"
"Fishing",2026,177684.886817143,"Baseline"
"Hotels and Restaurants",2026,344917.721468571,"Baseline"
"Wholesale Trade",2026,470342.347457143,"Baseline"
"Other Manufacturing",2026,104520.521657143,"Baseline"
"Transport",2026,501698.503954286,"Baseline"
"Electricity, Gas and Water",2026,104520.521657143,"Baseline"
"Wood and Paper",2026,52260.2608285714,"Baseline"
"Maintenance and Repair",2026,407630.034462857,"Baseline"
"Financial Intermediation and Business Activities",2026,418082.086628571,"Baseline"
"Transport Equipment",2026,41808.2086628571,"Baseline"
"Metal Products",2026,135876.678154286,"Baseline"
"Others",2026,20904.1043314286,"Baseline"
"Private Households",2026,146328.73032,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2026,261301.304142857,"Baseline"
"Electrical and Machinery",2026,114972.573822857,"Baseline"
"Food & Beverages",2026,229945.147645714,"Baseline"
"Recycling",2026,10452.0521657143,"Baseline"
"Agriculture",2026,3083355.38888571,"Baseline"
"Retail Trade",2026,888424.434085714,"Baseline"
"Public Administration",2026,512150.55612,"Baseline"
"Construction",2026,1170629.84256,"Baseline"
"Education, Health and Other Services",2026,543506.712617143,"Baseline"
"Fishing",2027,179133.81188361,"Baseline"
"Agriculture",2027,3108498.50033323,"Baseline"
"Post and Telecommunications",2027,210745.661039541,"Baseline"
"Education, Health and Other Services",2027,547938.718702806,"Baseline"
"Hotels and Restaurants",2027,347730.340715242,"Baseline"
"Retail Trade",2027,895669.059418048,"Baseline"
"Public Administration",2027,516326.869546875,"Baseline"
"Re-export & Re-import",2027,10537.283051977,"Baseline"
"Electrical and Machinery",2027,115910.113571747,"Baseline"
"Wholesale Trade",2027,474177.737338967,"Baseline"
"Other Manufacturing",2027,105372.83051977,"Baseline"
"Financial Intermediation and Business Activities",2027,421491.322079082,"Baseline"
"Electricity, Gas and Water",2027,105372.83051977,"Baseline"
"Wood and Paper",2027,52686.4152598852,"Baseline"
"Maintenance and Repair",2027,410954.039027105,"Baseline"
"Textiles and Wearing Apparel",2027,379342.189871173,"Baseline"
"Transport Equipment",2027,42149.1322079082,"Baseline"
"Metal Products",2027,136984.679675702,"Baseline"
"Mining and Quarrying",2027,115910.113571747,"Baseline"
"Recycling",2027,10537.283051977,"Baseline"
"Transport",2027,505789.586494898,"Baseline"
"Construction",2027,1180175.70182143,"Baseline"
"Food & Beverages",2027,231820.227143495,"Baseline"
"Others",2027,21074.5661039541,"Baseline"
"Private Households",2027,147521.962727679,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2027,263432.076299426,"Baseline"
"Construction",2028,1189669.83598286,"Baseline"
"Mining and Quarrying",2028,116842.573176888,"Baseline"
"Post and Telecommunications",2028,212441.042139796,"Baseline"
"Re-export & Re-import",2028,10622.0521069898,"Baseline"
"Transport Equipment",2028,42488.2084279592,"Baseline"
"Wood and Paper",2028,53110.260534949,"Baseline"
"Others",2028,21244.1042139796,"Baseline"
"Textiles and Wearing Apparel",2028,382393.875851633,"Baseline"
"Transport",2028,509858.50113551,"Baseline"
"Electrical and Machinery",2028,116842.573176888,"Baseline"
"Agriculture",2028,3133505.37156199,"Baseline"
"Recycling",2028,10622.0521069898,"Baseline"
"Other Manufacturing",2028,106220.521069898,"Baseline"
"Financial Intermediation and Business Activities",2028,424882.084279592,"Baseline"
"Fishing",2028,180574.885818827,"Baseline"
"Hotels and Restaurants",2028,350527.719530663,"Baseline"
"Retail Trade",2028,902874.429094133,"Baseline"
"Private Households",2028,148708.729497857,"Baseline"
"Education, Health and Other Services",2028,552346.709563469,"Baseline"
"Electricity, Gas and Water",2028,106220.521069898,"Baseline"
"Wholesale Trade",2028,477992.344814541,"Baseline"
"Public Administration",2028,520480.5532425,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2028,265551.302674745,"Baseline"
"Metal Products",2028,138086.677390867,"Baseline"
"Maintenance and Repair",2028,414260.032172602,"Baseline"
"Food & Beverages",2028,233685.146353776,"Baseline"
"Fishing",2029,182022.076479375,"Baseline"
"Post and Telecommunications",2029,214143.6193875,"Baseline"
"Re-export & Re-import",2029,10707.180969375,"Baseline"
"Hotels and Restaurants",2029,353336.971989375,"Baseline"
"Retail Trade",2029,910110.382396875,"Baseline"
"Textiles and Wearing Apparel",2029,385458.5148975,"Baseline"
"Electricity, Gas and Water",2029,107071.80969375,"Baseline"
"Agriculture",2029,3158618.38596562,"Baseline"
"Mining and Quarrying",2029,117778.990663125,"Baseline"
"Other Manufacturing",2029,107071.80969375,"Baseline"
"Transport",2029,513944.68653,"Baseline"
"Metal Products",2029,139193.352601875,"Baseline"
"Wholesale Trade",2029,481823.143621875,"Baseline"
"Others",2029,21414.36193875,"Baseline"
"Private Households",2029,149900.53357125,"Baseline"
"Construction",2029,1199204.26857,"Baseline"
"Wood and Paper",2029,53535.904846875,"Baseline"
"Recycling",2029,10707.180969375,"Baseline"
"Transport Equipment",2029,42828.7238775,"Baseline"
"Education, Health and Other Services",2029,556773.4104075,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2029,267679.524234375,"Baseline"
"Electrical and Machinery",2029,117778.990663125,"Baseline"
"Maintenance and Repair",2029,417580.057805625,"Baseline"
"Financial Intermediation and Business Activities",2029,428287.238775,"Baseline"
"Food & Beverages",2029,235557.98132625,"Baseline"
"Public Administration",2029,524651.867499375,"Baseline"
"Mining and Quarrying",2030,118714.799791837,"Baseline"
"Wood and Paper",2030,53961.2726326531,"Baseline"
"Other Manufacturing",2030,107922.545265306,"Baseline"
"Electrical and Machinery",2030,118714.799791837,"Baseline"
"Others",2030,21584.5090530612,"Baseline"
"Financial Intermediation and Business Activities",2030,431690.181061225,"Baseline"
"Fishing",2030,183468.32695102,"Baseline"
"Transport Equipment",2030,43169.0181061225,"Baseline"
"Education, Health and Other Services",2030,561197.235379592,"Baseline"
"Agriculture",2030,3183715.08532653,"Baseline"
"Retail Trade",2030,917341.634755102,"Baseline"
"Public Administration",2030,528820.4718,"Baseline"
"Re-export & Re-import",2030,10792.2545265306,"Baseline"
"Hotels and Restaurants",2030,356144.39937551,"Baseline"
"Wholesale Trade",2030,485651.453693878,"Baseline"
"Post and Telecommunications",2030,215845.090530612,"Baseline"
"Textiles and Wearing Apparel",2030,388521.162955102,"Baseline"
"Electricity, Gas and Water",2030,107922.545265306,"Baseline"
"Metal Products",2030,140299.308844898,"Baseline"
"Maintenance and Repair",2030,420897.926534694,"Baseline"
"Recycling",2030,10792.2545265306,"Baseline"
"Transport",2030,518028.217273469,"Baseline"
"Construction",2030,1208732.50697143,"Baseline"
"Food & Beverages",2030,237429.599583673,"Baseline"
"Private Households",2030,151091.563371429,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2030,269806.363163265,"Baseline"
"Post and Telecommunications",2031,217537.050671173,"Baseline"
"Hotels and Restaurants",2031,358936.133607436,"Baseline"
"Mining and Quarrying",2031,119645.377869145,"Baseline"
"Textiles and Wearing Apparel",2031,391566.691208112,"Baseline"
"Fishing",2031,184906.493070497,"Baseline"
"Electricity, Gas and Water",2031,108768.525335587,"Baseline"
"Wood and Paper",2031,54384.2626677934,"Baseline"
"Other Manufacturing",2031,108768.525335587,"Baseline"
"Re-export & Re-import",2031,10876.8525335587,"Baseline"
"Transport Equipment",2031,43507.4101342347,"Baseline"
"Metal Products",2031,141399.082936263,"Baseline"
"Others",2031,21753.7050671173,"Baseline"
"Private Households",2031,152275.935469821,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2031,271921.313338967,"Baseline"
"Electrical and Machinery",2031,119645.377869145,"Baseline"
"Food & Beverages",2031,239290.755738291,"Baseline"
"Recycling",2031,10876.8525335587,"Baseline"
"Agriculture",2031,3208671.49739981,"Baseline"
"Retail Trade",2031,924532.465352487,"Baseline"
"Financial Intermediation and Business Activities",2031,435074.101342347,"Baseline"
"Construction",2031,1218207.48375857,"Baseline"
"Wholesale Trade",2031,489458.36401014,"Baseline"
"Public Administration",2031,532965.774144375,"Baseline"
"Education, Health and Other Services",2031,565596.331745051,"Baseline"
"Maintenance and Repair",2031,424197.248808788,"Baseline"
"Transport",2031,522088.921610816,"Baseline"
"Fishing",2032,186343.562993112,"Baseline"
"Education, Health and Other Services",2032,569992.075037755,"Baseline"
"Agriculture",2032,3233608.88723342,"Baseline"
"Re-export & Re-import",2032,10961.3860584184,"Baseline"
"Hotels and Restaurants",2032,361725.739927806,"Baseline"
"Retail Trade",2032,931717.814965561,"Baseline"
"Post and Telecommunications",2032,219227.721168367,"Baseline"
"Financial Intermediation and Business Activities",2032,438455.442336735,"Baseline"
"Electricity, Gas and Water",2032,109613.860584184,"Baseline"
"Wholesale Trade",2032,493262.372628827,"Baseline"
"Maintenance and Repair",2032,427494.056278316,"Baseline"
"Textiles and Wearing Apparel",2032,394609.898103061,"Baseline"
"Transport Equipment",2032,43845.5442336735,"Baseline"
"Metal Products",2032,142498.018759439,"Baseline"
"Mining and Quarrying",2032,120575.246642602,"Baseline"
"Public Administration",2032,537107.9168625,"Baseline"
"Transport",2032,526146.530804082,"Baseline"
"Electrical and Machinery",2032,120575.246642602,"Baseline"
"Food & Beverages",2032,241150.493285204,"Baseline"
"Other Manufacturing",2032,109613.860584184,"Baseline"
"Private Households",2032,153459.404817857,"Baseline"
"Construction",2032,1227675.23854286,"Baseline"
"Wood and Paper",2032,54806.9302920918,"Baseline"
"Others",2032,21922.7721168367,"Baseline"
"Recycling",2032,10961.3860584184,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2032,274034.651460459,"Baseline"
"Transport Equipment",2033,44185.0851821939,"Baseline"
"Wood and Paper",2033,55231.3564777424,"Baseline"
"Post and Telecommunications",2033,220925.425910969,"Baseline"
"Textiles and Wearing Apparel",2033,397665.766639745,"Baseline"
"Transport",2033,530221.022186327,"Baseline"
"Electrical and Machinery",2033,121508.984251033,"Baseline"
"Mining and Quarrying",2033,121508.984251033,"Baseline"
"Agriculture",2033,3258650.0321868,"Baseline"
"Other Manufacturing",2033,110462.712955485,"Baseline"
"Financial Intermediation and Business Activities",2033,441850.851821939,"Baseline"
"Fishing",2033,187786.612024324,"Baseline"
"Hotels and Restaurants",2033,364526.9527531,"Baseline"
"Retail Trade",2033,938933.06012162,"Baseline"
"Private Households",2033,154647.798137679,"Baseline"
"Education, Health and Other Services",2033,574406.10736852,"Baseline"
"Electricity, Gas and Water",2033,110462.712955485,"Baseline"
"Others",2033,22092.5425910969,"Baseline"
"Public Administration",2033,541267.293481875,"Baseline"
"Re-export & Re-import",2033,11046.2712955485,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2033,276156.782388712,"Baseline"
"Wholesale Trade",2033,497082.208299681,"Baseline"
"Recycling",2033,11046.2712955485,"Baseline"
"Metal Products",2033,143601.52684213,"Baseline"
"Maintenance and Repair",2033,430804.58052639,"Baseline"
"Construction",2033,1237182.38510143,"Baseline"
"Food & Beverages",2033,243017.968502066,"Baseline"
"Post and Telecommunications",2034,222066.299167347,"Baseline"
"Fishing",2034,188756.354292245,"Baseline"
"Retail Trade",2034,943781.771461225,"Baseline"
"Re-export & Re-import",2034,11103.3149583673,"Baseline"
"Mining and Quarrying",2034,122136.464542041,"Baseline"
"Textiles and Wearing Apparel",2034,399719.338501225,"Baseline"
"Electricity, Gas and Water",2034,111033.149583673,"Baseline"
"Hotels and Restaurants",2034,366409.393626122,"Baseline"
"Agriculture",2034,3275477.91271837,"Baseline"
"Other Manufacturing",2034,111033.149583673,"Baseline"
"Transport",2034,532959.118001633,"Baseline"
"Construction",2034,1243571.27533714,"Baseline"
"Wood and Paper",2034,55516.5747918367,"Baseline"
"Others",2034,22206.6299167347,"Baseline"
"Private Households",2034,155446.409417143,"Baseline"
"Transport Equipment",2034,44413.2598334694,"Baseline"
"Education, Health and Other Services",2034,577372.377835102,"Baseline"
"Wholesale Trade",2034,499649.173126531,"Baseline"
"Recycling",2034,11103.3149583673,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2034,277582.873959184,"Baseline"
"Electrical and Machinery",2034,122136.464542041,"Baseline"
"Metal Products",2034,144343.094458776,"Baseline"
"Maintenance and Repair",2034,433029.283376327,"Baseline"
"Financial Intermediation and Business Activities",2034,444132.598334694,"Baseline"
"Food & Beverages",2034,244272.929084082,"Baseline"
"Public Administration",2034,544062.43296,"Baseline"
"Wood and Paper",2035,55939.8733832908,"Baseline"
"Financial Intermediation and Business Activities",2035,447518.987066327,"Baseline"
"Others",2035,22375.9493533163,"Baseline"
"Transport Equipment",2035,44751.8987066327,"Baseline"
"Fishing",2035,190195.569503189,"Baseline"
"Agriculture",2035,3300452.52961416,"Baseline"
"Retail Trade",2035,950977.847515944,"Baseline"
"Public Administration",2035,548210.75915625,"Baseline"
"Re-export & Re-import",2035,11187.9746766582,"Baseline"
"Hotels and Restaurants",2035,369203.164329719,"Baseline"
"Wholesale Trade",2035,503458.860449617,"Baseline"
"Post and Telecommunications",2035,223759.493533163,"Baseline"
"Textiles and Wearing Apparel",2035,402767.088359694,"Baseline"
"Electricity, Gas and Water",2035,111879.746766582,"Baseline"
"Metal Products",2035,145443.670796556,"Baseline"
"Maintenance and Repair",2035,436331.012389668,"Baseline"
"Other Manufacturing",2035,111879.746766582,"Baseline"
"Education, Health and Other Services",2035,581774.683186225,"Baseline"
"Electrical and Machinery",2035,123067.72144324,"Baseline"
"Mining and Quarrying",2035,123067.72144324,"Baseline"
"Transport",2035,537022.784479592,"Baseline"
"Construction",2035,1253053.16378571,"Baseline"
"Food & Beverages",2035,246135.44288648,"Baseline"
"Private Households",2035,156631.645473214,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2035,279699.366916454,"Baseline"
"Recycling",2035,11187.9746766582,"Baseline"
"Post and Telecommunications",2036,224900.784,"Baseline"
"Mining and Quarrying",2036,123695.4312,"Baseline"
"Electricity, Gas and Water",2036,112450.392,"Baseline"
"Wood and Paper",2036,56225.196,"Baseline"
"Fishing",2036,191165.6664,"Baseline"
"Transport Equipment",2036,44980.1568,"Baseline"
"Metal Products",2036,146185.5096,"Baseline"
"Other Manufacturing",2036,112450.392,"Baseline"
"Private Households",2036,157430.5488,"Baseline"
"Re-export & Re-import",2036,11245.0392,"Baseline"
"Electrical and Machinery",2036,123695.4312,"Baseline"
"Others",2036,22490.0784,"Baseline"
"Recycling",2036,11245.0392,"Baseline"
"Agriculture",2036,3317286.564,"Baseline"
"Retail Trade",2036,955828.332,"Baseline"
"Financial Intermediation and Business Activities",2036,449801.568,"Baseline"
"Construction",2036,1259444.3904,"Baseline"
"Hotels and Restaurants",2036,371086.2936,"Baseline"
"Wholesale Trade",2036,506026.764,"Baseline"
"Textiles and Wearing Apparel",2036,404821.4112,"Baseline"
"Education, Health and Other Services",2036,584742.0384,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2036,281125.98,"Baseline"
"Public Administration",2036,551006.9208,"Baseline"
"Transport",2036,539761.8816,"Baseline"
"Maintenance and Repair",2036,438556.5288,"Baseline"
"Food & Beverages",2036,247390.8624,"Baseline"
"Agriculture",2037,3342065.69677902,"Baseline"
"Fishing",2037,192593.616424554,"Baseline"
"Hotels and Restaurants",2037,373858.196588839,"Baseline"
"Post and Telecommunications",2037,226580.725205357,"Baseline"
"Re-export & Re-import",2037,11329.0362602679,"Baseline"
"Electricity, Gas and Water",2037,113290.362602679,"Baseline"
"Maintenance and Repair",2037,441832.414150446,"Baseline"
"Financial Intermediation and Business Activities",2037,453161.450410714,"Baseline"
"Transport Equipment",2037,45316.1450410714,"Baseline"
"Wholesale Trade",2037,509806.631712054,"Baseline"
"Mining and Quarrying",2037,124619.398862946,"Baseline"
"Textiles and Wearing Apparel",2037,407845.305369643,"Baseline"
"Transport",2037,543793.740492857,"Baseline"
"Metal Products",2037,147277.471383482,"Baseline"
"Food & Beverages",2037,249238.797725893,"Baseline"
"Other Manufacturing",2037,113290.362602679,"Baseline"
"Private Households",2037,158606.50764375,"Baseline"
"Construction",2037,1268852.06115,"Baseline"
"Wood and Paper",2037,56645.1813013393,"Baseline"
"Others",2037,22658.0725205357,"Baseline"
"Recycling",2037,11329.0362602679,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2037,283225.906506696,"Baseline"
"Education, Health and Other Services",2037,589109.885533929,"Baseline"
"Retail Trade",2037,962968.082122768,"Baseline"
"Electrical and Machinery",2037,124619.398862946,"Baseline"
"Public Administration",2037,555122.776753125,"Baseline"
"Wood and Paper",2038,56930.5631938775,"Baseline"
"Post and Telecommunications",2038,227722.25277551,"Baseline"
"Electrical and Machinery",2038,125247.239026531,"Baseline"
"Mining and Quarrying",2038,125247.239026531,"Baseline"
"Textiles and Wearing Apparel",2038,409900.054995918,"Baseline"
"Financial Intermediation and Business Activities",2038,455444.50555102,"Baseline"
"Fishing",2038,193563.914859184,"Baseline"
"Agriculture",2038,3358903.22843878,"Baseline"
"Other Manufacturing",2038,113861.126387755,"Baseline"
"Transport Equipment",2038,45544.450555102,"Baseline"
"Education, Health and Other Services",2038,592077.857216327,"Baseline"
"Hotels and Restaurants",2038,375741.717079592,"Baseline"
"Retail Trade",2038,967819.574295918,"Baseline"
"Public Administration",2038,557919.5193,"Baseline"
"Re-export & Re-import",2038,11386.1126387755,"Baseline"
"Electricity, Gas and Water",2038,113861.126387755,"Baseline"
"Wholesale Trade",2038,512375.068744898,"Baseline"
"Recycling",2038,11386.1126387755,"Baseline"
"Private Households",2038,159405.576942857,"Baseline"
"Transport",2038,546533.406661225,"Baseline"
"Metal Products",2038,148019.464304082,"Baseline"
"Maintenance and Repair",2038,444058.392912245,"Baseline"
"Construction",2038,1275244.61554286,"Baseline"
"Others",2038,22772.225277551,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2038,284652.815969388,"Baseline"
"Food & Beverages",2038,250494.478053061,"Baseline"
"Post and Telecommunications",2039,228858.755689286,"Baseline"
"Re-export & Re-import",2039,11442.9377844643,"Baseline"
"Mining and Quarrying",2039,125872.315629107,"Baseline"
"Textiles and Wearing Apparel",2039,411945.760240714,"Baseline"
"Agriculture",2039,3375666.64641696,"Baseline"
"Other Manufacturing",2039,114429.377844643,"Baseline"
"Fishing",2039,194529.942335893,"Baseline"
"Construction",2039,1281609.03186,"Baseline"
"Wood and Paper",2039,57214.6889223214,"Baseline"
"Retail Trade",2039,972649.711679464,"Baseline"
"Transport",2039,549261.013654286,"Baseline"
"Transport Equipment",2039,45771.7511378571,"Baseline"
"Hotels and Restaurants",2039,377616.946887321,"Baseline"
"Others",2039,22885.8755689286,"Baseline"
"Private Households",2039,160201.1289825,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2039,286073.444611607,"Baseline"
"Electrical and Machinery",2039,125872.315629107,"Baseline"
"Wholesale Trade",2039,514932.200300893,"Baseline"
"Recycling",2039,11442.9377844643,"Baseline"
"Maintenance and Repair",2039,446274.573594107,"Baseline"
"Financial Intermediation and Business Activities",2039,457717.511378571,"Baseline"
"Electricity, Gas and Water",2039,114429.377844643,"Baseline"
"Metal Products",2039,148758.191198036,"Baseline"
"Food & Beverages",2039,251744.631258214,"Baseline"
"Public Administration",2039,560703.95143875,"Baseline"
"Education, Health and Other Services",2039,595032.764792143,"Baseline"
"Fishing",2040,195491.636680867,"Baseline"
"Agriculture",2040,3392354.87181505,"Baseline"
"Retail Trade",2040,977458.183404337,"Baseline"
"Public Administration",2040,563475.8939625,"Baseline"
"Re-export & Re-import",2040,11499.508040051,"Baseline"
"Hotels and Restaurants",2040,379483.765321684,"Baseline"
"Wholesale Trade",2040,517477.861802296,"Baseline"
"Post and Telecommunications",2040,229990.16080102,"Baseline"
"Financial Intermediation and Business Activities",2040,459980.321602041,"Baseline"
"Electricity, Gas and Water",2040,114995.08040051,"Baseline"
"Wood and Paper",2040,57497.5402002551,"Baseline"
"Maintenance and Repair",2040,448480.81356199,"Baseline"
"Textiles and Wearing Apparel",2040,413982.289441837,"Baseline"
"Education, Health and Other Services",2040,597974.418082653,"Baseline"
"Metal Products",2040,149493.604520663,"Baseline"
"Mining and Quarrying",2040,126494.588440561,"Baseline"
"Other Manufacturing",2040,114995.08040051,"Baseline"
"Transport",2040,551976.385922449,"Baseline"
"Electrical and Machinery",2040,126494.588440561,"Baseline"
"Food & Beverages",2040,252989.176881122,"Baseline"
"Others",2040,22999.016080102,"Baseline"
"Private Households",2040,160993.112560714,"Baseline"
"Construction",2040,1287944.90048571,"Baseline"
"Recycling",2040,11499.508040051,"Baseline"
"Transport Equipment",2040,45998.0321602041,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2040,287487.701001276,"Baseline"
"Electricity, Gas and Water",2041,115562.495955612,"Baseline"
"Mining and Quarrying",2041,127118.745551173,"Baseline"
"Transport Equipment",2041,46224.9983822449,"Baseline"
"Wood and Paper",2041,57781.2479778061,"Baseline"
"Other Manufacturing",2041,115562.495955612,"Baseline"
"Re-export & Re-import",2041,11556.2495955612,"Baseline"
"Electrical and Machinery",2041,127118.745551173,"Baseline"
"Others",2041,23112.4991911224,"Baseline"
"Recycling",2041,11556.2495955612,"Baseline"
"Agriculture",2041,3409093.63069056,"Baseline"
"Post and Telecommunications",2041,231124.991911224,"Baseline"
"Financial Intermediation and Business Activities",2041,462249.983822449,"Baseline"
"Fishing",2041,196456.243124541,"Baseline"
"Hotels and Restaurants",2041,381356.23665352,"Baseline"
"Retail Trade",2041,982281.215622704,"Baseline"
"Textiles and Wearing Apparel",2041,416024.985440204,"Baseline"
"Education, Health and Other Services",2041,600924.978969184,"Baseline"
"Construction",2041,1294299.95470286,"Baseline"
"Wholesale Trade",2041,520031.231800255,"Baseline"
"Public Administration",2041,566256.2301825,"Baseline"
"Transport",2041,554699.980586939,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2041,288906.239889031,"Baseline"
"Metal Products",2041,150231.244742296,"Baseline"
